scenario,avian_included,prob_scenario,lead_days,threat_class,p_event,p_warning,Bd_us,Bd_base,ratio_Bd,ev_us,ev_base,deaths_averted_us,deaths_averted_base,pct_of_portfolio_ev_us,portfolio_view
A_screening_only,False,high,2,Ebola-like viral haemorrhagic fever,0.02,0.4,10554186674.895939,351801365.43947506,30.000414187453494,84433493.39916751,2814410.9235158004,2987.8590410958714,99.59392137991804,19.334210833363343,A_screening_only_without_avian
A_screening_only,False,high,2,Mpox-like orthopoxvirus,0.05,0.4,3163721997.596113,105453196.17316249,30.001195908761566,63274439.951922275,2109063.92346325,888.4595953531307,29.614138187233756,14.489053018449619,A_screening_only_without_avian
A_screening_only,False,high,2,High-burden enteric outbreak,0.25,0.4,1448227877.504879,40533645.990222424,35.7290305899011,144822787.7504879,4053364.5990222427,174.8680917801579,4.901952291033176,33.162601701269544,A_screening_only_without_avian
A_screening_only,False,high,5,SARS-like respiratory virus,0.05,0.4,15376104197.0831,512072967.3061444,30.027174209120957,307522083.9416621,10241459.34612289,4241.401743433187,141.2521832429569,36.75112815168115,A_screening_only_without_avian
A_screening_only,False,high,5,Ebola-like viral haemorrhagic fever,0.02,0.4,24093457353.387283,803100113.2425077,30.000565254698095,192747658.82709828,6424800.905940061,6821.576092350386,227.38157361756018,23.034748658359785,A_screening_only_without_avian
A_screening_only,False,high,5,Mpox-like orthopoxvirus,0.05,0.4,7298633230.114721,243274658.64189813,30.001617393525386,145972664.60229445,4865493.172837963,2050.3200569654364,68.34031811474293,17.44479627179877,A_screening_only_without_avian
A_screening_only,False,high,5,High-burden enteric outbreak,0.25,0.4,1905266917.2283173,52976298.698916554,35.96451552904134,190526691.72283173,5297629.869891656,231.75554922550896,6.463851949066473,22.7693269181603,A_screening_only_without_avian
A_screening_only,False,high,10,SARS-like respiratory virus,0.05,0.4,24071200191.34854,801437536.7310243,30.03502966623241,481424003.82697093,16028750.73462049,6643.490041134066,221.1917080288843,37.81702294326963,A_screening_only_without_avian
A_screening_only,False,high,10,Ebola-like viral haemorrhagic fever,0.02,0.4,41594103871.68938,1386435750.2052023,30.00074389709956,332752830.97351503,11091486.001641618,11779.018443196537,392.6241918663443,26.13854179129395,A_screening_only_without_avian
A_screening_only,False,high,10,Mpox-like orthopoxvirus,0.05,0.4,12798770222.608719,426595472.0427035,30.002123935641592,255975404.45217443,8531909.440854073,3597.530187209947,119.90919447050297,20.10748875446556,A_screening_only_without_avian
A_screening_only,False,high,10,High-burden enteric outbreak,0.25,0.4,2028829347.4601345,56175592.903420955,36.11585107696449,202882934.74601346,5617559.290342096,250.14515752394777,6.966731638186481,15.936946510970857,A_screening_only_without_avian
A_screening_only,False,high,14,SARS-like respiratory virus,0.05,0.4,28171013575.432796,937837818.2255151,30.038257178341592,563420271.508656,18756756.364510305,7778.8225974114175,258.964418396031,37.4358700618257,A_screening_only_without_avian
A_screening_only,False,high,14,Ebola-like viral haemorrhagic fever,0.02,0.4,51964104510.632935,1732088540.6025465,30.000836153881625,415712836.08506346,13856708.324820371,14718.435048108924,490.60080317059226,27.621604158902525,A_screening_only_without_avian
A_screening_only,False,high,14,Mpox-like orthopoxvirus,0.05,0.4,16163476730.378876,538739647.234667,30.00238949062961,323269534.60757756,10774792.944693342,4545.655692823492,151.50981231676363,21.47930577668293,A_screening_only_without_avian
A_screening_only,False,high,14,High-burden enteric outbreak,0.25,0.4,2026252109.731101,55967073.64774212,36.20436048674569,202625210.9731101,5596707.364774212,252.71061018496528,7.037563658567738,13.463220002588836,A_screening_only_without_avian
A_screening_only,True,low,2,SARS-like respiratory virus,0.005,0.05,7208721180.625837,240136917.41750735,30.01921261482921,1802180.2951564593,60034.22935437684,1987.9112833678712,66.22130191598262,15.482778512587721,A_screening_only_with_avian
A_screening_only,True,low,2,Avian-influenza-like respiratory virus,0.002,0.03,117847571889.17776,3904122779.469406,30.185416429243027,7070854.313350666,234247.3667681644,33184.38772879105,1099.3408976633266,60.7466808524169,A_screening_only_with_avian
A_screening_only,True,low,2,Ebola-like viral haemorrhagic fever,0.001,0.05,10554186674.895939,351801365.43947506,30.000414187453494,527709.3337447969,17590.068271973752,2987.8590410958714,99.59392137991804,4.5336233868246785,A_screening_only_with_avian
A_screening_only,True,low,2,Mpox-like orthopoxvirus,0.005,0.05,3163721997.596113,105453196.17316249,30.001195908761566,790930.4993990284,26363.299043290623,888.4595953531307,29.614138187233756,6.794992584236648,A_screening_only_with_avian
A_screening_only,True,low,2,High-burden enteric outbreak,0.02,0.05,1448227877.504879,40533645.990222424,35.7290305899011,1448227.8775048791,40533.64599022242,174.8680917801579,4.901952291033176,12.441924663934035,A_screening_only_with_avian
A_screening_only,True,low,5,SARS-like respiratory virus,0.005,0.05,15376104197.0831,512072967.3061444,30.027174209120957,3844026.0492707747,128018.2418265361,4241.401743433187,141.2521832429569,17.923470409522107,A_screening_only_with_avian
A_screening_only,True,low,5,Avian-influenza-like respiratory virus,0.002,0.03,211137677487.59918,6981924842.150679,30.240611616575542,12668260.649255952,418915.49052904075,59454.942875154826,1966.0392559068287,59.068068732293405,A_screening_only_with_avian
A_screening_only,True,low,5,Ebola-like viral haemorrhagic fever,0.001,0.05,24093457353.387283,803100113.2425077,30.000565254698095,1204672.8676693642,40155.00566212539,6821.576092350386,227.38157361756018,5.617006289778409,A_screening_only_with_avian
A_screening_only,True,low,5,Mpox-like orthopoxvirus,0.005,0.05,7298633230.114721,243274658.64189813,30.001617393525386,1824658.3075286804,60818.66466047453,2050.3200569654364,68.34031811474293,8.507801134355763,A_screening_only_with_avian
A_screening_only,True,low,5,High-burden enteric outbreak,0.02,0.05,1905266917.2283173,52976298.698916554,35.96451552904134,1905266.9172283174,52976.29869891656,231.75554922550896,6.463851949066473,8.883653434050306,A_screening_only_with_avian
A_screening_only,True,low,10,SARS-like respiratory virus,0.005,0.05,24071200191.34854,801437536.7310243,30.03502966623241,6017800.047837135,200359.38418275607,6643.490041134066,221.1917080288843,20.39971158311703,A_screening_only_with_avian
A_screening_only,True,low,10,Avian-influenza-like respiratory virus,0.002,0.03,269556829387.96082,8903850398.089415,30.274186709808404,16173409.76327765,534231.0238853649,75910.59785770126,2507.4045917391877,54.826164356360536,A_screening_only_with_avian
A_screening_only,True,low,10,Ebola-like viral haemorrhagic fever,0.001,0.05,41594103871.68938,1386435750.2052023,30.00074389709956,2079705.193584469,69321.78751026012,11779.018443196537,392.6241918663443,7.049982683004213,A_screening_only_with_avian
A_screening_only,True,low,10,Mpox-like orthopoxvirus,0.005,0.05,12798770222.608719,426595472.0427035,30.002123935641592,3199692.5556521798,106648.86801067588,3597.530187209947,119.90919447050297,10.846622481817233,A_screening_only_with_avian
A_screening_only,True,low,10,High-burden enteric outbreak,0.02,0.05,2028829347.4601345,56175592.903420955,36.11585107696449,2028829.3474601347,56175.592903420955,250.14515752394777,6.966731638186481,6.877518895700998,A_screening_only_with_avian
A_screening_only,True,low,14,SARS-like respiratory virus,0.005,0.05,28171013575.432796,937837818.2255151,30.038257178341592,7042753.393858199,234459.4545563788,7778.8225974114175,258.964418396031,21.49748624139312,A_screening_only_with_avian
A_screening_only,True,low,14,Avian-influenza-like respiratory virus,0.002,0.03,284212383011.1994,9385419840.594383,30.28233023544742,17052742.980671965,563125.190435663,80043.40171207923,2643.205284226903,52.052242511388116,A_screening_only_with_avian
