scenario,avian_included,prob_scenario,lead_days,threat_class,p_event,p_warning,Bd_aus,Bd_base,ratio_Bd,ev_aus,ev_base,deaths_averted_aus,deaths_averted_base,pct_of_portfolio_ev_aus
A,True,high,14,SARS-like respiratory virus,0.05,0.4,4901191271.865335,937837818.2255151,5.226054203208492,98023825.43730673,18756756.364510305,1353.381998583548,258.964418396031,13.437833392084713
A,True,high,14,Avian-influenza-like respiratory virus,0.03,0.35,46638800041.82841,9385419840.594383,4.969282230732339,489707400.43919826,98546908.32624102,13133.888591664509,2643.205284226903,67.13272440261605
A,True,high,14,Ebola-like viral haemorrhagic fever,0.02,0.4,9126424725.858047,1732088540.6025465,5.269028985483163,73011397.80686438,13856708.324820371,2584.9889987525617,490.60080317059226,10.00894420386966
A,True,high,14,Mpox-like orthopoxvirus,0.05,0.4,2837663747.0304213,538739647.234667,5.267226500956551,56753274.940608434,10774792.944693342,798.0373211312984,151.50981231676363,7.780160075417952
A,True,high,14,High-burden enteric outbreak,0.25,0.4,119656341.78220177,55967073.64774212,2.137977456804713,11965634.178220177,5596707.364774212,16.096324029604304,7.037563658567738,1.6403379260116242
B,False,low,2,SARS-like respiratory virus,0.005,0.05,1799321321.4407456,343144245.5864057,5.243629594795773,449830.3303601864,85786.06139660142,495.99006818689963,94.58923156347309,50.47273665282042
B,False,low,2,Ebola-like viral haemorrhagic fever,0.001,0.05,2288623198.112975,434317589.15275407,5.269469289921027,114431.15990564876,21715.879457637704,647.8280454633473,122.93994755873038,12.839627319416042
B,False,low,2,Mpox-like orthopoxvirus,0.005,0.05,669895500.2423804,127151635.8182495,5.268477247118777,167473.8750605951,31787.908954562376,188.0199626954256,35.68773794045325,18.79122909607367
B,False,low,2,High-burden enteric outbreak,0.02,0.05,159498913.19975662,71740856.5423497,2.2232646902619853,159498.91319975661,71740.85654234969,19.353620688462883,8.639472726621221,17.896406931689857
B,False,low,5,SARS-like respiratory virus,0.005,0.05,5315412701.553929,1018485138.988826,5.218939872633965,1328853.1753884824,254621.28474720652,1465.1176065036998,280.73150466490983,57.052612355117795
