scenario,avian_included,prob_scenario,lead_days,threat_class,representative_pathogen,annual_event_probability,useful_warning_probability_given_event,combined_prob,conditional_Bd,conditional_Bd_raw,expected_annual_contribution,expected_deaths_averted_per_year,cost_per_arriving_flight_contribution,n_total,pct_of_portfolio_ev,portfolio_view
A_screening_only,False,base,10,Mpox-like orthopoxvirus,Mpox,0.02,0.2,0.004,426595472.0427035,426595472.0427035,1706381.8881708141,0.47963677788201187,116.87547179252152,10000,22.99061678347024,A_screening_only_without_avian
A_screening_only,False,base,10,High-burden enteric outbreak,Norovirus,0.1,0.2,0.020000000000000004,56175592.903420955,56175592.903420955,1123511.8580684194,0.13933463276372965,76.95286699098763,10000,15.137426598113278,A_screening_only_without_avian
A_screening_only,False,base,14,SARS-like respiratory virus,SARS-CoV-2,0.02,0.2,0.004,937837818.2255151,937837818.2255151,3751351.2729020608,1.035857673584124,256.9418680069905,10000,42.83469623755556,A_screening_only_without_avian
A_screening_only,False,base,14,Ebola-like viral haemorrhagic fever,Ebola,0.005,0.2,0.001,1732088540.6025465,1732088540.6025465,1732088.5406025464,0.4906008031705923,118.63620141113331,10000,19.77780300906468,A_screening_only_without_avian
A_screening_only,False,base,14,Mpox-like orthopoxvirus,Mpox,0.02,0.2,0.004,538739647.234667,538739647.234667,2154958.588938668,0.6060392492670545,147.59990335196355,10000,24.6063324510504,A_screening_only_without_avian
A_screening_only,False,base,14,High-burden enteric outbreak,Norovirus,0.1,0.2,0.020000000000000004,55967073.64774212,55967073.64774212,1119341.4729548427,0.14075127317135477,76.66722417498923,10000,12.781168302329357,A_screening_only_without_avian
A_screening_only,False,high,2,SARS-like respiratory virus,SARS-CoV-2,0.05,0.4,0.020000000000000004,240136917.41750735,240136917.41750735,4802738.348350148,1.3244260383196527,328.95468139384576,10000,34.85403123395332,A_screening_only_without_avian
A_screening_only,False,high,2,Ebola-like viral haemorrhagic fever,Ebola,0.02,0.4,0.008,351801365.43947506,351801365.43947506,2814410.9235158004,0.7967513710393443,192.76787147368495,10000,20.424507670107936,A_screening_only_without_avian
A_screening_only,False,high,2,Mpox-like orthopoxvirus,Mpox,0.05,0.4,0.020000000000000004,105453196.17316249,105453196.17316249,2109063.92346325,0.5922827637446753,144.45643311392124,10000,15.305722388154757,A_screening_only_without_avian
A_screening_only,False,high,2,High-burden enteric outbreak,Norovirus,0.25,0.4,0.1,40533645.990222424,40533645.990222424,4053364.5990222427,0.4901952291033176,277.62771226179746,10000,29.415738707783976,A_screening_only_without_avian
A_screening_only,False,high,5,SARS-like respiratory virus,SARS-CoV-2,0.05,0.4,0.020000000000000004,512072967.3061444,512072967.3061444,10241459.34612289,2.825043664859139,701.4698182275953,10000,38.17254848385091,A_screening_only_without_avian
A_screening_only,False,high,5,Ebola-like viral haemorrhagic fever,Ebola,0.02,0.4,0.008,803100113.2425077,803100113.2425077,6424800.905940061,1.8190525889404814,440.0548565712371,10000,23.94688254793795,A_screening_only_without_avian
A_screening_only,False,high,5,Mpox-like orthopoxvirus,Mpox,0.05,0.4,0.020000000000000004,243274658.64189813,243274658.64189813,4865493.172837963,1.3668063622948587,333.25295704369614,10000,18.13494227346749,A_screening_only_without_avian
A_screening_only,False,high,5,High-burden enteric outbreak,Norovirus,0.25,0.4,0.1,52976298.698916554,52976298.698916554,5297629.869891656,0.6463851949066474,362.8513609514833,10000,19.745626694743653,A_screening_only_without_avian
A_screening_only,False,high,10,SARS-like respiratory virus,SARS-CoV-2,0.05,0.4,0.020000000000000004,801437536.7310243,801437536.7310243,16028750.73462049,4.423834160577687,1097.8596393575679,10000,38.83902381435549,A_screening_only_without_avian
A_screening_only,False,high,10,Ebola-like viral haemorrhagic fever,Ebola,0.02,0.4,0.008,1386435750.2052023,1386435750.2052023,11091486.001641618,3.1409935349307543,759.6908220302478,10000,26.87561220999604,A_screening_only_without_avian
A_screening_only,False,high,10,Mpox-like orthopoxvirus,Mpox,0.05,0.4,0.020000000000000004,426595472.0427035,426595472.0427035,8531909.440854073,2.3981838894100598,584.3773589626077,10000,20.673540904190844,A_screening_only_without_avian
A_screening_only,False,high,10,High-burden enteric outbreak,Norovirus,0.25,0.4,0.1,56175592.903420955,56175592.903420955,5617559.290342096,0.6966731638186481,384.7643349549381,10000,13.611823071457628,A_screening_only_without_avian
