scale,scenario,avian_included,prob_scenario,lead_days,n_total,N_downstream,flights_per_year,portfolio_ev_usd,annual_threshold_usd,threshold_per_flight_usd,deaths_averted,vsl,icu_enabled
United_States,B,True,low,5,300000,350000000,438000.0,68701169.58658534,68701169.58658534,156.85198535750078,18.56785796338349,3500000,True
United_States,B,True,low,10,300000,350000000,438000.0,215467795.20918354,215467795.20918354,491.93560550041906,59.54885860537667,3500000,True
United_States,B,True,low,14,300000,350000000,438000.0,408197384.3235816,408197384.3235816,931.9574984556657,113.51222737172151,3500000,True
United_States,B,True,base,2,300000,350000000,438000.0,493403644.4684613,493403644.4684613,1126.4923389690896,129.6000330726614,3500000,True
United_States,B,True,base,5,300000,350000000,438000.0,1595459661.5334442,1595459661.5334442,3642.6019669713337,433.7214646537648,3500000,True
United_States,B,True,base,10,300000,350000000,438000.0,5099970422.907901,5099970422.907901,11643.768088830824,1413.4671554932183,3500000,True
United_States,B,True,base,14,300000,350000000,438000.0,9724044021.015982,9724044021.015982,22201.01374661183,2709.1762618135035,3500000,True
United_States,B,True,high,2,300000,350000000,438000.0,3247530581.701859,3247530581.701859,7414.453382880956,867.1256446294299,3500000,True
United_States,B,True,high,5,300000,350000000,438000.0,10711005463.029396,10711005463.029396,24454.350372213234,2936.0845628317393,3500000,True
United_States,B,True,high,10,300000,350000000,438000.0,34730703422.23707,34730703422.23707,79293.843429765,9658.786058161426,3500000,True
United_States,B,True,high,14,300000,350000000,438000.0,66500666729.23201,66500666729.23201,151828.00623112332,18565.516481101236,3500000,True
