pathogen,prevalence_tier,follow_up_modality,wbe_false_positive_rate,follow_up_coverage,avg_pax_per_flight,horizon_days,n_total,icu_fraction,icu_los_days,wbe_detection_prob_q,wbe_cost_per_sample,uc_total_cost,wbe_total_cost,delta_c_wbe_minus_uc,wbe_cheaper
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.7,25,496820393.8074452,1002673642.8693483,505853249.06190306,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.7,40,496820393.8074452,1002889892.8657132,506069499.058268,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.7,60,496820393.8074452,1003178226.1942008,506357832.3867555,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.7,100,496820393.8074452,1003754892.8511741,506934499.0437289,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.7,150,496820393.8074452,1004475726.1723915,507655332.3649463,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.75,10,496820393.8074452,988084569.4252454,491264175.6178002,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.75,15,496820393.8074452,988156652.7573665,491336258.9499213,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.75,25,496820393.8074452,988300819.4216108,491480425.6141656,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.75,40,496820393.8074452,988517069.417975,491696675.6105297,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.75,60,496820393.8074452,988805402.7464643,491985008.939019,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.75,100,496820393.8074452,989382069.4034382,492561675.595993,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.75,150,496820393.8074452,990102902.7246554,493282508.91721016,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.8,10,496820393.8074452,974778377.6344041,477957983.82695884,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.8,15,496820393.8074452,974850460.9665275,478030067.15908223,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.8,25,496820393.8074452,974994627.6307698,478174233.8233246,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.8,40,496820393.8074452,975210877.6271353,478390483.81969005,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.8,60,496820393.8074452,975499210.9556229,478678817.1481777,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.8,100,496820393.8074452,976075877.6125973,479255483.8051521,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.8,150,496820393.8074452,976796710.9338139,479976317.1263687,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.85,10,496820393.8074452,962459045.9095833,465638652.1021381,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.85,15,496820393.8074452,962531129.2417053,465710735.4342601,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.85,25,496820393.8074452,962675295.9059488,465854902.09850353,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.85,40,496820393.8074452,962891545.9023136,466071152.09486836,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.85,60,496820393.8074452,963179879.2308006,466359485.4233554,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.85,100,496820393.8074452,963756545.8877741,466936152.0803289,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.85,150,496820393.8074452,964477379.2089936,467656985.4015483,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.9,10,496820393.8074452,951053467.7587659,454233073.9513207,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.9,15,496820393.8074452,951125551.0908866,454305157.28344136,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.9,25,496820393.8074452,951269717.7551309,454449323.94768566,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.9,40,496820393.8074452,951485967.7514957,454665573.9440505,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.9,60,496820393.8074452,951774301.0799837,454953907.2725385,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.9,100,496820393.8074452,952350967.7369579,455530573.9295127,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.9,150,496820393.8074452,953071801.0581741,456251407.2507289,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.95,10,496820393.8074452,940494594.299176,443674200.49173075,False
SARS-CoV-2,0.5x,RAT,0.005,0.5,250,365,10000,0.15,7,0.95,15,496820393.8074452,940566677.6312988,443746283.82385355,False
