scenario,avian_included,prob_scenario,lead_days,n_threats,portfolio_ev,cost_per_arriving_flight,expected_deaths_averted_per_year,expected_infections_averted_per_year,flights_per_year,n_total_arrivals_per_day,avg_pax_per_flight,response_modality,vsl,horizon_days,avian_pct,portfolio_view
B_screening_plus_countermeasures,False,base,14,4,32140709.00780608,2201.4184251921974,8.448631225172738,74329.49010833571,14600.0,10000,250,High-throughput molecular screening,3500000,365,0.0,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,high,2,4,20266618.18386837,1388.1245331416692,4.453006243210492,192256.8405736258,14600.0,10000,250,High-throughput molecular screening,3500000,365,0.0,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,high,5,4,48181541.7275485,3300.105597777295,11.580108463627093,294920.4525193179,14600.0,10000,250,High-throughput molecular screening,3500000,365,0.0,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,high,10,4,107117075.2483459,7336.785975914103,27.564446788220803,354972.35877307,14600.0,10000,250,High-throughput molecular screening,3500000,365,0.0,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,False,high,14,4,174270112.17535296,11936.309053106368,46.06660697669377,371654.83885250136,14600.0,10000,250,High-throughput molecular screening,3500000,365,0.0,B_screening_plus_countermeasures_without_avian
B_screening_plus_countermeasures,True,low,2,5,703083.1067646475,48.156377175660786,0.1848624424074008,1930.9206060717206,14600.0,10000,250,High-throughput molecular screening,3500000,365,69.6775624986618,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,low,5,5,2230632.408514654,152.78304167908587,0.6063065193518692,2978.1063126707227,14600.0,10000,250,High-throughput molecular screening,3500000,365,76.9435277915954,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,low,10,5,6870625.43415192,470.59078316109037,1.902508270879495,3644.560247262728,14600.0,10000,250,High-throughput molecular screening,3500000,365,83.0526462789451,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,low,14,5,12727730.360453255,871.7623534557024,3.5423030963655635,3895.655159056994,14600.0,10000,250,High-throughput molecular screening,3500000,365,84.93315083211509,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,base,2,5,16038801.381441876,1098.548039824786,4.254505528278398,38643.54268044835,14600.0,10000,250,High-throughput molecular screening,3500000,365,76.36031513244998,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,base,5,5,51824622.81337852,3549.631699546474,14.157359402235027,59657.498292084274,14600.0,10000,250,High-throughput molecular screening,3500000,365,82.79497148268375,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,base,10,5,162384738.64846885,11122.242373182798,45.07826084080075,73233.71087514196,14600.0,10000,250,High-throughput molecular screening,3500000,365,87.85056228914334,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,base,14,5,302392269.62152284,20711.7992891454,84.30696023564278,78573.3127103201,14600.0,10000,250,High-throughput molecular screening,3500000,365,89.37118695261829,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,high,2,5,105997573.13222566,7260.10774878258,28.51668398041125,193603.0603071755,14600.0,10000,250,High-throughput molecular screening,3500000,365,80.88011113368891,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,high,5,5,348538813.4829646,23872.521471435928,95.88930032937311,299637.05066565337,14600.0,10000,250,High-throughput molecular screening,3500000,365,86.17613308369646,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,high,10,5,1105708417.0693963,75733.45322393125,307.86470054440775,370653.49185033876,14600.0,10000,250,High-throughput molecular screening,3500000,365,90.31235779752382,B_screening_plus_countermeasures_with_avian
B_screening_plus_countermeasures,True,high,14,5,2066031036.4713702,141508.97510077877,577.074910049984,401361.5970663921,14600.0,10000,250,High-throughput molecular screening,3500000,365,91.56498091756676,B_screening_plus_countermeasures_with_avian
