pathogen,countermeasure_status,trigger_day,reduction_strength,ramp_days,post_intervention_Rt,winner,winner_key,cost_none,cost_rapid,cost_lab,cost_molecular
Ebola,swept,14,0.6,7,0.64,High-throughput molecular screening,molecular,10039673182.293585,3308579487.6781697,661690921.241203,373357592.75412816
Ebola,swept,14,0.6,14,0.64,High-throughput molecular screening,molecular,10359664955.123272,3412645088.27267,671299733.6697187,382966405.1826442
Ebola,swept,14,0.6,21,0.64,High-throughput molecular screening,molecular,10776883802.734207,3548336857.895098,683828990.234477,395495661.74740213
Ebola,swept,14,0.8,7,0.32,High-throughput molecular screening,molecular,5614698799.952938,1869865714.258452,528862469.3198688,240529140.832794
Ebola,swept,14,0.8,14,0.32,High-throughput molecular screening,molecular,5833618464.634646,1941023729.424591,535431269.6234482,247097941.13637367
Ebola,swept,14,0.8,21,0.32,High-throughput molecular screening,molecular,6112958123.043514,2031822862.4878974,543813282.6352049,255479954.14813018
Ebola,swept,21,0.4,7,0.96,High-throughput molecular screening,molecular,48676485698.90814,15956672606.99683,1832928248.8399732,1544594920.3528972
Ebola,swept,21,0.4,14,0.96,High-throughput molecular screening,molecular,51091572555.0665,16753682697.62994,1906996619.40295,1618663290.915875
Ebola,swept,21,0.4,21,0.96,High-throughput molecular screening,molecular,54174828246.405495,17772290511.893932,2001704055.561528,1713370727.0744534
Ebola,swept,21,0.6,7,0.64,High-throughput molecular screening,molecular,10788033200.728859,3551962624.354768,684163765.7046354,395830437.21756035
Ebola,swept,21,0.6,14,0.64,High-throughput molecular screening,molecular,11333502447.996887,3729376521.3004193,700545941.546381,412212613.0593059
Ebola,swept,21,0.6,21,0.64,High-throughput molecular screening,molecular,12018554809.170607,3952209019.9509177,721122789.1140971,432789460.6270223
Ebola,swept,21,0.8,7,0.32,High-throughput molecular screening,molecular,6142348974.386629,2041376360.9704828,544695203.4083521,256361874.92127714
Ebola,swept,21,0.8,14,0.32,High-throughput molecular screening,molecular,6515688045.351896,2162734008.9463344,555898353.6679678,267565025.18089324
Ebola,swept,21,0.8,21,0.32,High-throughput molecular screening,molecular,6974548725.419162,2311897734.843434,569668685.134201,281335356.64712566
Ebola,swept,35,0.4,7,0.96,High-throughput molecular screening,molecular,62721193993.57588,20602277128.24055,2265101347.680902,1976768019.1938272
Ebola,swept,35,0.4,14,0.96,High-throughput molecular screening,molecular,68668445727.65079,22577141707.092617,2449140820.092498,2160807491.605424
Ebola,swept,35,0.4,21,0.96,High-throughput molecular screening,molecular,75993908064.36179,25015890851.880398,2676672349.8845925,2388339021.3975163
Ebola,swept,35,0.6,7,0.64,High-throughput molecular screening,molecular,14096362019.748882,4628198098.017317,783550132.2478625,495216803.7607875
Ebola,swept,35,0.6,14,0.64,High-throughput molecular screening,molecular,15478037382.104786,5077823839.14059,825077537.6914026,536744209.2043278
Ebola,swept,35,0.6,21,0.64,High-throughput molecular screening,molecular,17156141410.760572,5624040613.777267,875531221.5571043,587197893.0700289
Ebola,swept,35,0.8,7,0.32,High-throughput molecular screening,molecular,8476956237.686315,2800340351.092282,614762159.9605354,326428831.4734612
Ebola,swept,35,0.8,14,0.32,High-throughput molecular screening,molecular,9423185214.61247,3108008541.6802616,643168103.6984676,354834775.2113932
Ebola,swept,35,0.8,21,0.32,High-throughput molecular screening,molecular,10547959493.39475,3473776600.0264883,676940045.4422126,388606716.9551377
Ebola,swept,50,0.4,7,0.96,High-throughput molecular screening,molecular,99564305263.1315,32909693639.303467,3415147382.2097697,3126814053.7226977
Ebola,swept,50,0.4,14,0.96,High-throughput molecular screening,molecular,113701699720.02373,37678121478.76684,3862692384.6978097,3574359056.210735
Ebola,swept,50,0.4,21,0.96,High-throughput molecular screening,molecular,130792652110.50986,43476404020.89929,4408361269.20031,4120027940.7132316
Ebola,swept,50,0.6,7,0.64,High-throughput molecular screening,molecular,23080966302.1045,7553584272.675967,1053803785.6750245,765470457.1879497
Ebola,swept,50,0.6,14,0.64,High-throughput molecular screening,molecular,26512950520.531925,8672100591.64739,1157177846.3475728,868844517.8604987
Ebola,swept,50,0.6,21,0.64,High-throughput molecular screening,molecular,30624171983.21235,10012798511.029184,1281119008.2319329,992785679.7448583
Ebola,swept,50,0.8,7,0.32,High-throughput molecular screening,molecular,14822484423.905119,4864247001.664856,805341630.311045,517008301.8239699
Ebola,swept,50,0.8,14,0.32,High-throughput molecular screening,molecular,17175270154.0593,5629911968.653011,876059185.8732272,587725857.3861514
Ebola,swept,50,0.8,21,0.32,High-throughput molecular screening,molecular,19934413255.382847,6528120972.654003,959030906.1151003,670697577.6280268
Ebola,none,-1,0.0,-1,1.6,High-throughput molecular screening,molecular,11672560167022.867,11643163821485.965,11559662306782.475,11559373973453.984
Diphtheria,swept,14,0.4,7,1.65,High-throughput molecular screening,molecular,270128489697.5966,125068499700.6916,14599802384.088423,14311469055.601349
Diphtheria,swept,14,0.4,14,1.65,High-throughput molecular screening,molecular,287525223286.9989,136680404023.11111,16263313837.634922,15974980509.14785
Diphtheria,swept,14,0.4,21,1.65,High-throughput molecular screening,molecular,307471443385.18,150741125784.27838,18376388387.521427,18088055059.034363
Diphtheria,swept,14,0.6,7,1.1,High-throughput molecular screening,molecular,455050463.701303,193046236.07331574,374081809.56952566,85748481.08245094
Diphtheria,swept,14,0.6,14,1.1,High-throughput molecular screening,molecular,491458671.9435205,204899183.1971192,375176747.460224,86843418.97314945
Diphtheria,swept,14,0.6,21,1.1,High-throughput molecular screening,molecular,542323710.433406,221461686.71954334,376706862.0369546,88373533.54987979
Diphtheria,swept,14,0.8,7,0.55,No systematic screening,none,45208048.74120276,59744826.5451903,361772919.06799304,73439590.58091834
Diphtheria,swept,14,0.8,14,0.55,No systematic screening,none,47479908.60251802,60483207.28043328,361841078.35337883,73507749.86630432
Diphtheria,swept,14,0.8,21,0.55,No systematic screening,none,50664541.91452253,61518254.90861046,361936622.8937427,73603294.40666814
Diphtheria,swept,21,0.4,7,1.65,High-throughput molecular screening,molecular,306704999234.80133,150185572344.1394,18290764234.32153,18002430905.83446
Diphtheria,swept,21,0.4,14,1.65,High-throughput molecular screening,molecular,328492605033.6422,166488232302.53564,20881124688.407696,20592791359.92061
Diphtheria,swept,21,0.4,21,1.65,High-throughput molecular screening,molecular,351841771015.0944,185188191063.9446,24062673143.028328,23774339814.541267
Diphtheria,swept,21,0.6,7,1.1,High-throughput molecular screening,molecular,540228957.8144059,220779593.59618664,376643847.08914405,88310518.60206914
Diphtheria,swept,21,0.6,14,1.1,High-throughput molecular screening,molecular,608675643.6231184,243072422.46080527,378703573.92029244,90370245.43321727
