scenario,pathogen,modality_key,modality_label,lead_days,prevalence_tier,prevalence_multiplier,vsl_scenario,vsl,horizon_days,Bd,Bd_nonneg,delta_screening_cost,delta_hospital_cost,delta_productivity_cost,delta_mortality_cost,delta_icu_cost,delta_infections,delta_deaths,immediate_total_cost,delayed_total_cost,immediate_cm_start,delayed_cm_start,Rt,CFR_pct,infectious_period_days,phi_pct,p0_pct,sensitivity
A_screening_only,Norovirus,lab,Laboratory PCR,2,0.1x,0.1,high_income,11600000,365,49114331.15207857,49114331.15207857,-1999999.9999999404,12294487.348665956,2612578.5615915107,35654013.31113124,553251.9306899699,683083.684737888,3.0738765813203153,418900951.7050728,468015282.8571514,21,21,1.75,0.00075,2.0,37.5,0.25000000000000006,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,2,0.5x,0.5,low_resource,300000,365,25007678.0588513,25007678.0588513,-1999999.9999999404,20268426.310582303,4307040.590998737,1520131.9732936774,912079.1839761995,1125982.9482743647,5.066923267234623,418177360.03758174,443185038.09643304,21,21,1.75,0.00075,2.0,37.5,1.25,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,2,0.5x,0.5,base_case,3500000,365,41222419.10731691,41222419.10731691,-1999999.9999999404,20268426.310582303,4307040.590998737,17734873.021759555,912079.1839761995,1125982.9482743647,5.066923267234623,452855453.50324076,494077872.6105577,21,21,1.75,0.00075,2.0,37.5,1.25,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,2,0.5x,0.5,high_income,11600000,365,82265982.38624573,82265982.38624573,-1999999.9999999404,20268426.310582303,4307040.590998737,58778436.30068864,912079.1839761995,1125982.9482743647,5.066923267234623,540634377.5881907,622900359.9744364,21,21,1.75,0.00075,2.0,37.5,1.25,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,2,1x,1.0,low_resource,300000,365,24128902.171004415,24128902.171004415,-1999999.9999999404,19608932.21088513,4166898.0948130805,1470669.9158163834,882401.9494898259,1089322.7313407073,4.901952291033176,441069204.50472736,465198106.6757318,21,21,1.75,0.00075,2.0,37.5,2.5,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,2,1x,1.0,base_case,3500000,365,39816047.9397127,39816047.9397127,-1999999.9999999404,19608932.21088513,4166898.0948130805,17157815.684524357,882401.9494898259,1089322.7313407073,4.901952291033176,489490994.46098006,529307042.40069276,21,21,1.75,0.00075,2.0,37.5,2.5,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,2,1x,1.0,high_income,11600000,365,79524135.66675413,79524135.66675413,-1999999.9999999404,19608932.21088513,4166898.0948130805,56865903.411566526,882401.9494898259,1089322.7313407073,4.901952291033176,612058650.2877455,691582785.9544996,21,21,1.75,0.00075,2.0,37.5,2.5,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,2,2x,2.0,low_resource,300000,365,20350756.141705036,20350756.141705036,-1999999.9999999404,16773550.575388417,3564379.497270016,1258016.2931541242,754809.7758924807,931806.6098804045,4.193129744461835,463490204.5872456,483840960.7289506,21,21,1.75,0.00075,2.0,37.5,5.0,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,2,2x,2.0,base_case,3500000,365,33769596.60201615,33769596.60201615,-1999999.9999999404,16773550.575388417,3564379.497270016,14676856.753464773,754809.7758924807,931806.6098804045,4.193129744461835,525373007.72624844,559142604.3282646,21,21,1.75,0.00075,2.0,37.5,5.0,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,2,2x,2.0,high_income,11600000,365,67736036.51717639,67736036.51717639,-1999999.9999999404,16773550.575388417,3564379.497270016,48643296.66862619,754809.7758924807,931806.6098804045,4.193129744461835,682013853.1718497,749749889.6890261,21,21,1.75,0.00075,2.0,37.5,5.0,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,5,0.1x,0.1,low_resource,300000,365,19008796.465488255,19008796.465488255,-4999999.99999994,18017858.51068558,3828794.933520685,1351339.3883014163,810803.6329808532,1001060.3235983736,4.504771456192506,379161174.83271027,398169971.2981985,21,21,1.75,0.00075,2.0,37.5,0.25000000000000006,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,5,0.1x,0.1,base_case,3500000,365,33423083.274036884,33423083.274036884,-4999999.99999994,18017858.51068558,3828794.933520685,15765626.19684986,810803.6329808532,1001060.3235983736,4.504771456192506,390414916.9558575,423838000.2298944,21,21,1.75,0.00075,2.0,37.5,0.25000000000000006,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,5,0.1x,0.1,high_income,11600000,365,69909246.75817573,69909246.75817573,-4999999.99999994,18017858.51068558,3828794.933520685,52251789.68098819,810803.6329808532,1001060.3235983736,4.504771456192506,418900951.7050728,488810198.46324855,21,21,1.75,0.00075,2.0,37.5,0.25000000000000006,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,5,0.5x,0.5,low_resource,300000,365,31545075.397241533,31545075.397241533,-4999999.99999994,27425947.765284397,5828013.900122931,2056946.0823963233,1234167.6494377917,1523601.2123342073,6.856205455503913,418177360.03758174,449722435.4348233,21,21,1.75,0.00075,2.0,37.5,1.25,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,5,0.5x,0.5,base_case,3500000,365,53485833.609469116,53485833.609469116,-4999999.99999994,27425947.765284397,5828013.900122931,23997704.29462371,1234167.6494377917,1523601.2123342073,6.856205455503913,452855453.50324076,506341287.1127099,21,21,1.75,0.00075,2.0,37.5,1.25,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,5,0.5x,0.5,high_income,11600000,365,109023377.83416843,109023377.83416843,-4999999.99999994,27425947.765284397,5828013.900122931,79535248.51932423,1234167.6494377917,1523601.2123342073,6.856205455503913,540634377.5881907,649657755.4223591,21,21,1.75,0.00075,2.0,37.5,1.25,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,5,1x,1.0,low_resource,300000,365,29454331.98385924,29454331.98385924,-4999999.99999994,25856909.55636739,5494593.280728044,1939268.2167275408,1163560.9300365308,1436411.5442369916,6.463851949066473,441069204.50472736,470523536.4885866,21,21,1.75,0.00075,2.0,37.5,2.5,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,5,1x,1.0,base_case,3500000,365,50139859.628953576,50139859.628953576,-4999999.99999994,25856909.55636739,5494593.280728044,22624795.861821428,1163560.9300365308,1436411.5442369916,6.463851949066473,489490994.46098006,539630854.0899336,21,21,1.75,0.00075,2.0,37.5,2.5,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,5,1x,1.0,high_income,11600000,365,102500101.48059738,102500101.48059738,-4999999.99999994,25856909.55636739,5494593.280728044,74985037.71346495,1163560.9300365308,1436411.5442369916,6.463851949066473,612058650.2877455,714558751.7683429,21,21,1.75,0.00075,2.0,37.5,2.5,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,5,2x,2.0,low_resource,300000,365,23945447.48640597,23945447.48640597,-4999999.99999994,21722662.27872877,4616065.734229861,1629199.6709046504,977519.802542794,1206741.7988094129,5.430338094642384,463490204.5872456,487435652.07365155,21,21,1.75,0.00075,2.0,37.5,5.0,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,5,2x,2.0,base_case,3500000,365,41323577.30938977,41323577.30938977,-4999999.99999994,21722662.27872877,4616065.734229861,19007329.493887693,977519.802542794,1206741.7988094129,5.430338094642384,525373007.72624844,566696585.0356382,21,21,1.75,0.00075,2.0,37.5,5.0,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,5,2x,2.0,high_income,11600000,365,85311968.42381549,85311968.42381549,-4999999.99999994,21722662.27872877,4616065.734229861,62995720.60831344,977519.802542794,1206741.7988094129,5.430338094642384,682013853.1718497,767325821.5956652,21,21,1.75,0.00075,2.0,37.5,5.0,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,10,0.1x,0.1,low_resource,300000,365,16768798.692288697,16768798.692288697,-10000000.0,20089154.74092952,4268945.382447526,1506686.6055697156,904011.9633418281,1116134.661640225,5.022605977380829,379161174.83271027,395929973.52499896,21,21,1.75,0.00075,2.0,37.5,0.25000000000000006,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,10,0.1x,0.1,base_case,3500000,365,32840122.485031962,32840122.485031962,-10000000.0,20089154.74092952,4268945.382447526,17578010.39831334,904011.9633418281,1116134.661640225,5.022605977380829,390414916.9558575,423255039.4408895,21,21,1.75,0.00075,2.0,37.5,0.25000000000000006,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,10,0.1x,0.1,high_income,11600000,365,73520660.83541459,73520660.83541459,-10000000.0,20089154.74092952,4268945.382447526,58258548.74869552,904011.9633418281,1116134.661640225,5.022605977380829,418900951.7050728,492421612.5404874,21,21,1.75,0.00075,2.0,37.5,0.25000000000000006,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,10,0.5x,0.5,low_resource,300000,365,29690646.700645745,29690646.700645745,-10000000.0,29786601.65151646,6329652.850947291,2233995.123863744,1340397.0743182427,1654741.0745423744,7.4463348354406715,418177360.03758174,447868006.7382275,21,21,1.75,0.00075,2.0,37.5,1.25,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,10,0.5x,0.5,base_case,3500000,365,53519928.02185887,53519928.02185887,-10000000.0,29786601.65151646,6329652.850947291,26063276.44507698,1340397.0743182427,1654741.0745423744,7.4463348354406715,452855453.50324076,506375381.52509964,21,21,1.75,0.00075,2.0,37.5,1.25,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,10,0.5x,0.5,high_income,11600000,365,113837796.36618054,113837796.36618054,-10000000.0,29786601.65151646,6329652.850947291,86381144.78939773,1340397.0743182427,1654741.0745423744,7.4463348354406715,540634377.5881907,654472173.9543712,21,21,1.75,0.00075,2.0,37.5,1.25,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,10,1x,1.0,low_resource,300000,365,27134839.541943967,27134839.541943967,-10000000.0,27868547.49864476,5922066.343462018,2090141.0623983592,1254084.6374390158,1548162.586263664,6.966731638186481,441069204.50472736,468204044.04667133,21,21,1.75,0.00075,2.0,37.5,2.5,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,10,1x,1.0,base_case,3500000,365,49429677.540860176,49429677.540860176,-10000000.0,27868547.49864476,5922066.343462018,24384979.061314344,1254084.6374390158,1548162.586263664,6.966731638186481,489490994.46098006,538920672.0018402,21,21,1.75,0.00075,2.0,37.5,2.5,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,10,1x,1.0,high_income,11600000,365,105863486.2256149,105863486.2256149,-10000000.0,27868547.49864476,5922066.343462018,80818787.74606952,1254084.6374390158,1548162.586263664,6.966731638186481,612058650.2877455,717922136.5133604,21,21,1.75,0.00075,2.0,37.5,2.5,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,10,2x,2.0,low_resource,300000,365,21055577.651798427,21055577.651798427,-10000000.0,23306249.64487712,4952578.049536353,1747968.7233657753,1048781.234019468,1294714.216496545,5.826213974234484,463490204.5872456,484545782.239044,21,21,1.75,0.00075,2.0,37.5,5.0,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,10,2x,2.0,base_case,3500000,365,39700577.36770064,39700577.36770064,-10000000.0,23306249.64487712,4952578.049536353,20392968.43926747,1048781.234019468,1294714.216496545,5.826213974234484,525373007.72624844,565073585.0939491,21,21,1.75,0.00075,2.0,37.5,5.0,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,10,2x,2.0,high_income,11600000,365,86895732.89857733,86895732.89857733,-10000000.0,23306249.64487712,4952578.049536353,67588123.97014332,1048781.234019468,1294714.216496545,5.826213974234484,682013853.1718497,768909586.0704271,21,21,1.75,0.00075,2.0,37.5,5.0,0.97
A_screening_only,Norovirus,lab,Laboratory PCR,14,0.1x,0.1,low_resource,300000,365,13145549.896812797,13145549.896812797,-14000000.00000006,20371894.856895223,4329027.657090237,1527892.114267142,916735.2685602865,1131842.7000550716,5.093292150247649,379161174.83271027,392306724.72952306,21,21,1.75,0.00075,2.0,37.5,0.25000000000000006,0.97
