scenario,pathogen,modality_key,modality_label,lead_days,prevalence_tier,prevalence_multiplier,vsl_scenario,vsl,horizon_days,Bd,Bd_nonneg,delta_screening_cost,delta_hospital_cost,delta_productivity_cost,delta_mortality_cost,delta_icu_cost,delta_infections,delta_deaths,immediate_total_cost,delayed_total_cost,immediate_cm_start,delayed_cm_start,Rt,CFR_pct,infectious_period_days,phi_pct,p0_pct,sensitivity
B_screening_plus_countermeasures,Mpox,lab,Laboratory PCR,2,0.5x,0.5,low_resource,300000,365,4767804.650460184,4767804.650460184,-1999999.9999999404,1134721.7378017136,241128.36928286345,5349402.478208104,42552.06516756426,360.53743285487604,17.846602926316393,369526814.6651227,374294619.3155829,21,23,1.5,5.5,10.5,70.0,0.2,0.97
B_screening_plus_countermeasures,Mpox,lab,Laboratory PCR,2,0.5x,0.5,base_case,3500000,365,61828097.75134647,61828097.75134647,-1999999.9999999404,1134721.7378017136,241128.36928286345,62409695.57909416,42552.06516756426,360.53743285487604,17.846602926316393,446335778.20548767,508163875.95683414,21,23,1.5,5.5,10.5,70.0,0.2,0.97
B_screening_plus_countermeasures,Mpox,lab,Laboratory PCR,2,0.5x,0.5,high_income,11600000,365,206261964.66296303,206261964.66296303,-1999999.9999999404,1134721.7378017136,241128.36928286345,206843562.49071246,42552.06516756426,360.53743285487604,17.846602926316393,640758467.1670357,847020431.8299987,21,23,1.5,5.5,10.5,70.0,0.2,0.97
B_screening_plus_countermeasures,Mpox,lab,Laboratory PCR,2,1x,1.0,low_resource,300000,365,11533545.018360615,11533545.018360615,-1999999.9999999404,2269097.3683477705,482183.1907739035,10697173.307925237,85091.15131304122,720.9644028374406,35.68773794045325,378636272.28013444,390169817.29849505,21,23,1.5,5.5,10.5,70.0,0.4,0.97
B_screening_plus_countermeasures,Mpox,lab,Laboratory PCR,2,1x,1.0,base_case,3500000,365,125636726.96956223,125636726.96956223,-1999999.9999999404,2269097.3683477705,482183.1907739035,124800355.25912765,85091.15131304122,720.9644028374406,35.68773794045325,532248327.56862515,657885054.5381874,21,23,1.5,5.5,10.5,70.0,0.4,0.97
B_screening_plus_countermeasures,Mpox,lab,Laboratory PCR,2,1x,1.0,high_income,11600000,365,414460406.28354347,414460406.28354347,-1999999.9999999404,2269097.3683477705,482183.1907739035,413624034.57310927,85091.15131304122,720.9644028374406,35.68773794045325,921078842.5176159,1335539248.8011594,21,23,1.5,5.5,10.5,70.0,0.4,0.97
B_screening_plus_countermeasures,Mpox,lab,Laboratory PCR,2,2x,2.0,low_resource,300000,365,25058836.922686398,25058836.922686398,-1999999.9999999404,4536810.981049166,964072.3334729441,21387823.196374636,170130.41178934346,1441.4871698296522,71.35361490656769,396853098.7504477,421911935.6731341,21,23,1.5,5.5,10.5,70.0,0.8,0.97
B_screening_plus_countermeasures,Mpox,lab,Laboratory PCR,2,2x,2.0,base_case,3500000,365,253195617.68401444,253195617.68401444,-1999999.9999999404,4536810.981049166,964072.3334729441,249524603.95770347,170130.41178934346,1441.4871698296522,71.35361490656769,704053726.9143947,957249344.5984092,21,23,1.5,5.5,10.5,70.0,0.8,0.97
B_screening_plus_countermeasures,Mpox,lab,Laboratory PCR,2,2x,2.0,high_income,11600000,365,830666843.986129,830666843.986129,-1999999.9999999404,4536810.981049166,964072.3334729441,826995830.25982,170130.41178934346,1441.4871698296522,71.35361490656769,1481655316.9543803,2312322160.9405093,21,23,1.5,5.5,10.5,70.0,0.8,0.97
B_screening_plus_countermeasures,Mpox,lab,Laboratory PCR,5,0.1x,0.1,low_resource,300000,365,-1325095.6869858503,0.0,-4999999.99999994,616151.621343709,130932.21953553823,2904714.7863346282,23105.68580038908,195.79074168944834,9.691641713627472,362238747.1420355,360913651.45504963,21,26,1.5,5.5,10.5,70.0,0.04,0.97
